ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11663967,JC234871,04/22/2019 10:30:00 PM,049XX S ARCHER AVE,0810,THEFT,OVER $500,STREET,False,False,821,8.0,14.0,57.0,06,1151005.0,1871530.0,2019,04/29/2019 04:18:19 PM,41.803365154,-87.721721771,"(41.803365154, -87.721721771)",49.0,22248.0,54.0,698.0,8.0,56.0,13.0,103.0
11663677,JC234568,04/22/2019 10:30:00 PM,009XX W 54TH ST,0560,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),False,False,934,9.0,20.0,61.0,08A,1171049.0,1868997.0,2019,04/29/2019 04:18:19 PM,41.795999418,-87.648284712,"(41.795999418, -87.648284712)",53.0,14924.0,59.0,768.0,4.0,37.0,23.0,127.0
11664983,JC234552,04/22/2019 10:26:00 PM,083XX S HALSTED ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,613,6.0,21.0,71.0,08B,,,2019,04/29/2019 04:18:19 PM,,,,,,,,,,,
11663566,JC234556,04/22/2019 10:23:00 PM,012XX S ALBANY AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,1022,10.0,24.0,29.0,18,1155902.0,1894381.0,2019,04/29/2019 04:18:19 PM,41.865974048000005,-87.70314712,"(41.865974048, -87.70314712)",36.0,21569.0,30.0,132.0,14.0,57.0,21.0,152.0
11663603,JC234566,04/22/2019 10:22:00 PM,066XX S SANGAMON ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,True,False,723,7.0,6.0,68.0,15,1171118.0,1860868.0,2019,04/29/2019 04:18:19 PM,41.773690999,-87.648269192,"(41.773690999, -87.648269192)",17.0,21559.0,66.0,436.0,32.0,11.0,17.0,202.0
11663565,JC234549,04/22/2019 10:20:00 PM,066XX S LOWE AVE,0810,THEFT,OVER $500,STREET,False,False,723,7.0,6.0,68.0,06,1173182.0,1860845.0,2019,04/29/2019 04:18:19 PM,41.773582519,-87.64070371,"(41.773582519, -87.64070371)",31.0,21559.0,66.0,435.0,32.0,11.0,17.0,202.0
11663651,JC234559,04/22/2019 10:10:00 PM,080XX S PHILLIPS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,422,4.0,7.0,46.0,08B,1193916.0,1852195.0,2019,04/29/2019 04:18:19 PM,41.749362899,-87.564981816,"(41.749362899, -87.564981816)",43.0,21202.0,42.0,478.0,37.0,25.0,19.0,234.0
11663639,JC234554,04/22/2019 10:10:00 PM,016XX W CERMAK RD,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,GAS STATION,True,False,1234,12.0,25.0,31.0,24,1165877.0,1889479.0,2019,04/29/2019 04:18:19 PM,41.852315746,-87.66666794700001,"(41.852315746, -87.666667947)",8.0,14920.0,33.0,126.0,26.0,43.0,21.0,159.0
11663638,JC234543,04/22/2019 10:08:00 PM,079XX S WOODLAWN AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE,True,True,411,4.0,8.0,45.0,04A,1185591.0,1852630.0,2019,04/29/2019 04:18:19 PM,41.750756536,-87.59547383,"(41.750756536, -87.59547383)",9.0,21546.0,41.0,133.0,35.0,61.0,19.0,224.0
11663644,JC234613,04/22/2019 10:07:00 PM,040XX S LAKE PARK AVE,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,STREET,True,False,214,2.0,4.0,36.0,24,1183552.0,1878648.0,2019,04/29/2019 04:18:19 PM,41.822199933,-87.602134797,"(41.822199933, -87.602134797)",1.0,4301.0,2.0,220.0,10.0,36.0,24.0,104.0
11663671,JC234530,04/22/2019 10:05:00 PM,046XX W MONROE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,False,False,1113,11.0,28.0,25.0,14,1145383.0,1899159.0,2019,04/29/2019 04:18:19 PM,41.879290869,-87.741642575,"(41.879290869, -87.741642575)",11.0,22216.0,26.0,69.0,23.0,32.0,16.0,90.0
